,vearly,vdsat,self_gain,region,id,gmoverid,gmbs,gm,gds,ft,csb,cgs,cgd,cdb,vbs,w,l,vsd,vsg,vsdat,cgb,cds
86,1.022,-0.1138,13.6,2.0,-8.424e-05,13.31,8.978e-05,0.001121,8.243e-05,79980000000.0,7.857e-16,1.695e-15,4.334e-16,6.83e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.55,,,
87,1.18,-0.1312,11.95,2.0,-0.0001506,10.12,0.0001212,0.001524,0.0001275,103400000000.0,7.9e-16,1.805e-15,4.455e-16,6.872e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.6,,,
88,1.274,-0.1506,10.0,2.0,-0.0002351,7.848,0.0001458,0.001845,0.0001845,120000000000.0,7.935e-16,1.889e-15,4.724e-16,6.915e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.65,,,
89,1.279,-0.1715,7.938,2.0,-0.0003332,6.205,0.0001627,0.002067,0.0002605,129100000000.0,7.967e-16,1.95e-15,5.237e-16,6.962e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.7,,,
90,1.203,-0.1936,5.988,2.0,-0.0004398,4.977,0.0001719,0.002189,0.0003655,131000000000.0,7.998e-16,1.988e-15,6.041e-16,7.015e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.75,,,
91,1.081,-0.2167,4.355,2.0,-0.0005501,4.029,0.000174,0.002216,0.0005089,127300000000.0,8.028e-16,2.003e-15,7.084e-16,7.069e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.8,,,
92,0.9514,-0.2407,3.123,2.0,-0.0006598,3.283,0.00017,0.002166,0.0006935,119900000000.0,8.055e-16,2.001e-15,8.235e-16,7.119e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.85,,,
93,0.8397,-0.2655,2.262,2.0,-0.0007654,2.694,0.0001616,0.002062,0.0009116,110700000000.0,8.08e-16,1.987e-15,9.36e-16,7.162e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.9,,,
94,0.7539,-0.291,1.682,2.0,-0.000865,2.232,0.0001504,0.00193,0.001147,101000000000.0,8.1e-16,1.968e-15,1.037e-15,7.197e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,0.95,,,
95,0.6913,-0.3171,1.292,1.0,-0.0009578,1.869,0.0001379,0.001791,0.001386,91790000000.0,8.116e-16,1.947e-15,1.125e-15,7.225e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,1.0,,,
96,0.6451,-0.3437,1.022,1.0,-0.001044,1.584,0.000125,0.001654,0.001618,83440000000.0,8.13e-16,1.927e-15,1.198e-15,7.246e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,1.05,,,
97,0.6092,-0.3707,0.8266,1.0,-0.001123,1.357,0.0001123,0.001523,0.001843,75910000000.0,8.141e-16,1.91e-15,1.258e-15,7.263e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,1.1,,,
98,0.5796,-0.3981,0.6787,1.0,-0.001196,1.171,9.985e-05,0.0014,0.002063,69070000000.0,8.15e-16,1.894e-15,1.308e-15,7.277e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,1.15,,,
99,0.554,-0.4258,0.563,1.0,-0.001262,1.016,8.78e-05,0.001283,0.002279,62800000000.0,8.157e-16,1.88e-15,1.35e-15,7.287e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.3,1.2,,,
100,0.5685,-0.08444,17.02,0.0,-5.615e-11,29.93,8.435e-11,1.015e-09,5.966e-11,157600.0,7.243e-16,4.133e-16,3.782e-16,6.199e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.4,0.0,,,
101,0.5674,-0.08452,17.03,0.0,-1.739e-10,30.01,3.741e-10,4.556e-09,2.675e-10,705300.0,7.243e-16,4.179e-16,3.812e-16,6.199e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.4,0.05,,,
102,0.5664,-0.08459,17.04,0.0,-7.04e-10,30.08,1.669e-09,2.052e-08,1.204e-09,3168000.0,7.243e-16,4.218e-16,3.846e-16,6.199e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.4,0.1,,,
103,0.5655,-0.08466,17.05,0.0,-3.096e-09,30.15,7.487e-09,9.268e-08,5.436e-09,14270000.0,7.243e-16,4.25e-16,3.884e-16,6.199e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.4,0.15,,,
104,0.5649,-0.08473,17.06,0.0,-1.392e-08,30.2,3.373e-08,4.197e-07,2.46e-08,64400000.0,7.244e-16,4.285e-16,3.927e-16,6.2e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.4,0.2,,,
105,0.5651,-0.08482,17.06,3.0,-6.295e-08,30.19,1.522e-07,1.9e-06,1.113e-07,288800000.0,7.248e-16,4.381e-16,3.975e-16,6.202e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.4,0.25,,,
106,0.5691,-0.08497,17.05,3.0,-2.836e-07,29.97,6.793e-07,8.499e-06,4.984e-07,1241000000.0,7.274e-16,4.827e-16,4.027e-16,6.216e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.4,0.3,,,
107,0.5871,-0.08538,16.99,3.0,-1.243e-06,28.93,2.872e-06,3.597e-05,2.118e-06,4566000000.0,7.373e-16,6.586e-16,4.081e-16,6.271e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.4,0.35,,,
108,0.6421,-0.08685,16.78,3.0,-4.965e-06,26.13,1.034e-05,0.0001297,7.732e-06,13130000000.0,7.552e-16,1.001e-15,4.133e-16,6.383e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.4,0.4,,,
109,0.7493,-0.09138,16.38,3.0,-1.654e-05,21.87,2.872e-05,0.0003617,2.208e-05,30770000000.0,7.702e-16,1.321e-15,4.18e-16,6.491e-16,0.4,2.2999999999999996e-06,6.000000000000001e-08,0.4,0.45,,,
